x,y,z,class
"[-9.5712904, -9.414384, -9.7281968, -9.5712904, -9.2574776, -9.218251, -9.80665, -8.9828914, -9.5712904, -9.218251, -10.2381426, -8.9436648, -9.4536106, -9.3751574, -9.5320638, -9.5320638, -9.4536106, -9.80665, -9.5712904, -9.5320638]","[0.0, 0.0392266, 0.1176798, -0.0784532, 0.1569064, 0.4707192, 0.392266, 0.7060788, -0.0784532, 0.3138128, 0.0784532, 0.0392266, 0.3138128, 0.0, 0.0392266, 0.392266, 0.4707192, 0.0784532, 0.3138128, 0.5491724]","[2.3928226, 2.4320492, 2.3928226, 2.353596, 2.3928226, 2.2359162, 2.4320492, 1.8828768, 2.3928226, 2.2751428, 2.2751428, 2.157463, 2.353596, 2.353596, 2.7066354, 2.3143694, 2.0790098, 2.6281822, 2.353596, 2.2751428]",5
"[-9.414384, -9.1790244, -9.6497436, -9.3359308, -8.9044382, -9.2967042, -8.7867584, -9.3359308, -9.0613446, -9.7281968, -9.1790244, -9.9635564, -9.0613446, -9.6497436, -9.2967042, -9.6497436, -9.7674234, -9.3359308, -9.4536106, -9.6889702]","[0.588399, 0.0392266, 0.2745862, 0.4314926, 0.2745862, 0.0, 0.3138128, 0.1176798, 0.3530394, 0.3138128, 0.8629852, 0.6276256, 0.2745862, 0.5491724, 0.8237586, 0.8237586, 0.2353596, 0.1176798, 0.1569064, 0.0784532]","[1.9221034, 2.549729, 2.1182364, 1.9221034, 2.4712758, 2.5889556, 2.157463, 2.0005566, 2.2751428, 2.549729, 2.353596, 1.765197, 2.3143694, 2.353596, 2.0005566, 2.0790098, 2.0790098, 2.4712758, 2.157463, 2.0790098]",5
"[-9.610517, -9.2967042, -9.4928372, -9.2967042, -9.2967042, -9.2574776, -9.7281968, -9.3359308, -9.610517, -9.5320638, -9.0613446, -9.610517, -9.6889702, -9.6497436, -9.2967042, -9.80665, -9.414384, -9.5712904, -9.9635564, -9.1790244]","[0.1569064, 0.1569064, 0.0392266, 0.1569064, 0.2353596, 0.2745862, 0.392266, 0.4314926, 0.1176798, 0.1176798, 0.1176798, 0.2353596, 0.0392266, 0.0784532, 0.0392266, 0.0, 0.0784532, 0.2745862, 0.0392266, 0.196133]","[2.6281822, 2.3143694, 2.1966896, 2.3143694, 2.3143694, 2.2359162, 2.2359162, 2.157463, 2.1966896, 2.157463, 2.1966896, 2.2751428, 2.2359162, 2.157463, 2.2359162, 2.353596, 2.2751428, 2.0790098, 2.353596, 2.2751428]",5
"[-9.5712904, -9.9635564, -9.80665, -8.9436648, -9.610517, -9.4536106, -9.7674234, -9.5712904, -8.9828914, -9.3359308, -9.1397978, -9.7674234, -9.8851032, -9.610517, -9.2967042, -9.610517, -9.1790244, -9.3751574, -9.3751574, -9.9635564]","[0.2745862, 0.4314926, 0.0392266, 0.6668522, -0.0392266, 0.1569064, 0.4707192, 0.2745862, 0.4707192, 0.0, 0.196133, 0.0784532, -0.0784532, 0.588399, 0.1569064, 0.0392266, 0.196133, 0.2353596, -0.0392266, 0.0784532]","[2.3143694, 2.353596, 2.0790098, 2.0005566, 2.549729, 2.549729, 1.96133, 2.5105024, 1.96133, 2.3928226, 2.353596, 2.2751428, 2.0790098, 1.8828768, 2.2359162, 2.4320492, 2.1966896, 2.2359162, 2.2359162, 2.4320492]",5
"[-9.9243298, -10.002783, -9.5320638, -9.2967042, -9.4928372, -9.1790244, -9.3751574, -9.3751574, -9.4928372, -9.1005712, -9.8458766, -9.0613446, -9.80665, -8.7867584, -9.2574776, -9.610517, -9.7281968, -9.6889702, -9.8458766, -9.414384]","[0.4314926, 0.0784532, 0.2745862, 0.0392266, 0.196133, 0.2353596, 0.0392266, 0.5099458, 0.1176798, 0.196133, 0.0, 0.3530394, 0.2353596, 0.3530394, 0.2745862, 0.6276256, 0.6276256, 0.2745862, 0.0, 0.2353596]","[2.353596, 2.0790098, 2.3928226, 2.0790098, 2.0790098, 2.3928226, 2.7066354, 2.0005566, 2.0005566, 2.3928226, 2.4712758, 2.2359162, 1.765197, 2.2751428, 2.3928226, 2.1966896, 2.0397832, 2.1182364, 2.6281822, 2.0790098]",5
"[-9.610517, -9.610517, -9.4536106, -9.4536106, -9.2574776, -9.2574776, -9.4536106, -9.3751574, -9.4928372, -9.610517, -10.0812362, -9.5712904, -9.610517, -9.414384, -9.7281968, -8.9828914, -9.3359308, -9.3751574, -9.414384, -9.4928372]","[0.2353596, 0.0, 0.1569064, 0.196133, 0.1569064, 0.0392266, 0.1569064, 0.0784532, 0.2353596, 0.0784532, 0.4314926, 0.7453054, 0.2745862, 0.2353596, 0.196133, 0.0392266, 0.1569064, 0.196133, 0.196133, 0.1176798]","[2.1966896, 2.549729, 2.3143694, 2.0790098, 2.3143694, 2.5105024, 2.0790098, 2.157463, 2.3143694, 2.3928226, 2.2359162, 2.157463, 2.0790098, 2.2359162, 2.157463, 2.353596, 2.353596, 2.353596, 2.1182364, 2.3928226]",5
"[-9.1790244, -9.4928372, -10.0420096, -10.1596894, -8.7475318, -9.4928372, -9.5712904, -9.3751574, -9.4536106, -10.1596894, -9.6889702, -9.2967042, -9.6497436, -9.7281968, -9.414384, -9.4928372, -9.5320638, -9.7674234, -9.8851032, -9.218251]","[0.2353596, 0.0, 0.1569064, 0.0, 0.3530394, 0.6276256, 0.392266, 0.3530394, 0.0392266, 0.3530394, 0.0784532, 0.1569064, 0.392266, 0.196133, 0.0784532, 0.1569064, 0.4314926, -0.0392266, 0.0784532, 0.2745862]","[2.353596, 2.2751428, 2.5105024, 2.2751428, 2.0005566, 2.0397832, 2.2751428, 2.0397832, 2.3143694, 1.9221034, 2.3143694, 2.0005566, 2.2359162, 2.4320492, 2.5105024, 2.1966896, 2.0005566, 2.745862, 2.5105024, 2.2359162]",5
"[-9.3751574, -8.5121722, -9.2574776, -9.8458766, -9.3751574, -9.1005712, -9.0613446, -9.6497436, -9.7674234, -9.5712904, -9.2967042, -9.610517, -9.0613446, -8.9436648, -9.8458766, -10.002783, -9.8851032, -9.6889702, -9.610517, -9.1005712]","[0.3138128, 0.0784532, 0.1176798, 0.4314926, 0.8629852, -0.0784532, 0.3530394, -0.0784532, 0.0392266, -0.196133, 1.2552512, 0.2745862, 0.1176798, 0.6276256, 0.6276256, 0.5099458, 0.392266, 0.1569064, 0.2353596, 0.196133]","[2.1966896, 2.1966896, 2.3928226, 1.96133, 1.8828768, 2.5889556, 1.8828768, 1.9221034, 2.3928226, 2.549729, 1.9221034, 2.0397832, 2.0790098, 2.2359162, 2.157463, 2.0397832, 2.0005566, 2.4712758, 2.1966896, 2.0790098]",5
"[-9.5712904, -9.218251, -9.80665, -9.4536106, -9.4536106, -9.1005712, -9.7674234, -9.6889702, -9.1397978, -9.5320638, -9.3751574, -9.4928372, -9.5712904, -9.5712904, -9.6497436, -9.414384, -9.5320638, -9.4928372, -9.8851032, -9.0613446]","[0.2745862, 0.392266, 0.1569064, 0.1176798, 0.196133, 0.392266, -0.1176798, 0.0, -0.0392266, 0.0, 0.2353596, 0.2745862, 0.1569064, -0.392266, 0.196133, 0.1569064, 0.0, 0.1569064, -0.1176798, 0.0392266]","[2.0790098, 2.353596, 2.3928226, 2.3143694, 2.4320492, 2.3143694, 2.4320492, 1.96133, 2.1966896, 2.4320492, 2.2359162, 2.2359162, 2.1182364, 2.353596, 2.2751428, 2.353596, 2.2751428, 2.1182364, 2.4320492, 2.0790098]",5
"[-9.1790244, -9.7674234, -9.5320638, -9.1005712, -9.2967042, -10.198916, -9.2967042, -9.7674234, -9.2574776, -9.3751574, -9.4928372, -9.414384, -9.2574776, -10.0812362, -9.218251, -9.8458766, -9.610517, -9.1790244, -9.5712904, -9.7674234]","[0.2353596, 0.4707192, -0.0392266, 0.3138128, 0.3138128, 0.0784532, -0.1176798, 0.1176798, 0.2353596, 0.196133, 0.1569064, 0.0, -0.392266, -0.0392266, 0.5491724, 0.1176798, 0.1569064, 0.2745862, 0.196133, 0.1176798]","[2.1182364, 2.1182364, 2.2751428, 2.0005566, 2.4712758, 2.2359162, 2.0790098, 2.5105024, 1.6867438, 2.353596, 2.157463, 2.4320492, 2.2751428, 2.549729, 2.0005566, 2.3143694, 2.0790098, 2.3928226, 2.2751428, 2.5105024]",5
"[-10.0420096, -9.5320638, -9.610517, -8.5906254, -9.7281968, -9.022118, -9.022118, -9.5712904, -9.2574776, -9.7674234, -9.4928372, -9.1397978, -8.7475318, -9.1005712, -9.1790244, -9.8458766, -10.0812362, -9.2967042, -9.5320638, -9.3751574]","[0.3138128, 0.4707192, 0.5491724, 0.2745862, 0.196133, 1.0983448, 0.0, -0.0784532, 0.196133, 0.4707192, -0.0392266, 0.1569064, 0.196133, 0.3530394, 0.4314926, 0.5491724, 0.3138128, 0.4707192, 0.3138128, 0.3530394]","[2.157463, 2.1966896, 2.4320492, 2.745862, 2.157463, 2.0790098, 2.5105024, 2.353596, 2.0790098, 2.0397832, 2.4712758, 2.2359162, 2.0790098, 2.1966896, 2.4712758, 2.3143694, 1.9221034, 2.1182364, 2.3928226, 2.353596]",5
"[-9.2574776, -9.80665, -9.1790244, -9.4928372, -8.9436648, -9.2967042, -9.6889702, -9.5712904, -9.3751574, -9.2967042, -9.80665, -9.6497436, -9.3359308, -9.7281968, -9.2967042, -9.5320638, -9.8851032, -9.3751574, -9.414384, -9.218251]","[0.3138128, 0.392266, 0.2353596, 0.3138128, 0.196133, 0.1569064, 0.196133, 0.2745862, 0.2745862, 0.3530394, 0.5099458, 0.7453054, 0.392266, 0.2745862, 0.4707192, 0.0784532, 0.1176798, 0.196133, -0.1569064, 0.0784532]","[2.0790098, 2.2751428, 2.3143694, 1.8436502, 2.3928226, 2.4712758, 2.2359162, 2.1966896, 2.157463, 2.157463, 2.1966896, 2.2751428, 2.1966896, 2.2359162, 2.157463, 2.0005566, 2.549729, 2.2751428, 2.2359162, 2.157463]",5
"[-9.2574776, -9.1397978, -9.7674234, -9.9635564, -9.1397978, -8.9828914, -9.6497436, -9.9243298, -9.2574776, -9.610517, -9.4928372, -10.5519554, -9.4536106, -9.9243298, -9.4536106, -9.6889702, -9.80665, -9.8851032, -9.6497436, -9.414384]","[0.0392266, 0.5491724, 0.3530394, 0.1176798, 0.2745862, 0.4707192, 0.392266, 0.2745862, 0.2353596, -0.0784532, 0.2745862, 0.2745862, 0.1176798, 0.3530394, 0.1176798, 0.196133, 0.0, 0.1176798, 0.2745862, 0.1176798]","[2.4320492, 2.1182364, 2.2359162, 2.353596, 1.8828768, 2.3143694, 2.1182364, 2.1966896, 2.1966896, 2.5105024, 2.4320492, 1.6867438, 2.4320492, 2.1182364, 2.353596, 2.0397832, 2.6674088, 2.0397832, 2.3928226, 2.4320492]",5
"[-9.8851032, -9.8851032, -9.2967042, -9.5320638, -9.3751574, -9.022118, -9.8851032, -9.8458766, -9.022118, -9.4928372, -9.0613446, -9.3751574, -9.5712904, -10.002783, -10.5127288, -9.6889702, -9.1397978, -9.0613446, -10.0812362, -9.218251]","[0.0784532, 0.1569064, -0.0784532, 0.392266, 0.2745862, 0.1176798, 0.1176798, 0.0784532, -0.3530394, 0.4707192, 0.4314926, -0.0784532, -0.2745862, 0.392266, 0.6668522, 0.0, 0.196133, 0.3138128, 0.0392266, 0.0784532]","[2.549729, 2.3143694, 1.96133, 2.353596, 2.3143694, 2.4320492, 2.1966896, 2.5105024, 2.353596, 2.2359162, 2.4320492, 2.549729, 2.5889556, 2.2359162, 1.9221034, 2.5889556, 2.1182364, 2.4320492, 2.0005566, 2.5105024]",5
"[-9.6889702, -9.3751574, -9.6889702, -10.002783, -9.4536106, -9.2967042, -9.414384, -9.610517, -9.5320638, -9.4928372, -9.6497436, -9.6889702, -9.1397978, -9.3359308, -9.8851032, -9.218251, -9.4536106, -9.7281968, -9.6497436, -9.8851032]","[0.2353596, 0.2353596, 0.1176798, 0.0, 0.0784532, 0.2353596, 0.2745862, 0.2353596, 0.392266, 0.196133, 0.4707192, 0.3530394, 0.0784532, 0.392266, -0.1176798, 0.1569064, 0.5099458, 0.5491724, 0.1176798, 0.1569064]","[2.1966896, 2.0790098, 2.2751428, 2.549729, 2.0790098, 1.96133, 2.3143694, 2.3928226, 2.0790098, 2.1966896, 2.2359162, 2.2751428, 2.4320492, 2.2751428, 2.5889556, 2.4712758, 2.353596, 2.157463, 2.2359162, 2.5105024]",5
"[-9.9243298, -9.80665, -9.3751574, -8.3552658, -9.414384, -9.6497436, -9.6497436, -8.9436648, -9.1790244, -9.9243298, -9.1790244, -9.4536106, -10.1596894, -8.8652116, -9.022118, -10.0420096, -9.414384, -9.610517, -9.6497436, -9.5712904]","[0.6276256, 0.0392266, 0.1569064, 0.1569064, 0.1176798, 0.1569064, 0.0, 0.1176798, 0.0392266, 0.1176798, 0.1569064, -0.6668522, 0.0392266, 0.5491724, 0.3138128, 0.2353596, 0.6668522, 0.3138128, 0.0784532, 0.6668522]","[2.3143694, 2.157463, 2.3143694, 2.1182364, 2.3143694, 2.1182364, 2.353596, 2.0790098, 2.4320492, 2.157463, 2.5889556, 2.549729, 2.353596, 2.0005566, 2.3928226, 2.4320492, 2.0790098, 1.8828768, 2.6674088, 1.765197]",5
"[-9.2967042, -9.3359308, -9.0613446, -9.6497436, -9.8458766, -9.218251, -9.3751574, -9.7674234, -8.9828914, -9.5712904, -9.5320638, -9.2574776, -9.1790244, -9.8851032, -10.198916, -9.1790244, -10.4342756, -8.7475318, -10.198916, -8.825985]","[0.2745862, 0.0392266, 0.1176798, 0.5099458, 0.1176798, 0.0392266, 0.2745862, 0.9022118, 0.5099458, 0.4707192, 0.4314926, 0.4707192, 0.5099458, 0.4314926, -0.5099458, 0.3530394, 0.0392266, 0.0784532, 0.4314926, -0.0392266]","[2.0005566, 2.4320492, 2.1966896, 2.157463, 2.1182364, 2.353596, 2.4320492, 2.0790098, 2.3143694, 2.353596, 2.2359162, 2.3143694, 2.0790098, 2.3143694, 2.353596, 2.353596, 1.6867438, 2.6674088, 1.96133, 2.1182364]",5
"[-9.5712904, -9.5320638, -9.8458766, -9.6497436, -9.2967042, -9.2574776, -9.4928372, -9.2574776, -9.3359308, -9.414384, -9.4536106, -9.3751574, -9.2967042, -8.6690786, -8.9044382, -9.8458766, -9.7281968, -9.4536106, -9.3359308, -9.5320638]","[-0.0392266, 0.1569064, 0.0784532, 0.1176798, 0.0784532, 0.0392266, -0.196133, 0.0784532, 0.3138128, 0.2745862, 0.1176798, 0.0784532, 0.1176798, 0.5099458, 0.5491724, 0.4314926, 0.2745862, 0.2745862, 0.3138128, 0.196133]","[2.5889556, 2.4712758, 2.1966896, 2.4320492, 2.4320492, 2.1182364, 2.157463, 2.2751428, 2.0790098, 2.1966896, 2.0790098, 2.353596, 2.157463, 2.0397832, 2.0397832, 2.0397832, 2.2359162, 2.1966896, 2.2751428, 2.2359162]",5
"[-9.5320638, -9.5712904, -9.6497436, -9.5712904, -9.414384, -9.4536106, -9.3751574, -9.5320638, -9.5320638, -9.4536106, -9.4536106, -9.3751574, -9.610517, -9.5320638, -9.4928372, -9.4536106, -9.5320638, -9.4928372, -9.4928372, -9.3751574]","[0.2353596, 0.196133, 0.2353596, 0.196133, 0.196133, 0.196133, 0.2353596, 0.1569064, 0.2353596, 0.2745862, 0.196133, 0.196133, 0.2353596, 0.196133, 0.2353596, 0.196133, 0.196133, 0.2745862, 0.196133, 0.2745862]","[2.1966896, 2.2359162, 2.3143694, 2.2359162, 2.1966896, 2.2751428, 2.2751428, 2.2751428, 2.2751428, 2.1182364, 2.3143694, 2.2751428, 2.2359162, 2.2359162, 2.1966896, 2.1966896, 2.1966896, 2.2751428, 2.1966896, 2.2359162]",5
"[-9.4536106, -9.5320638, -9.414384, -9.5712904, -9.5320638, -9.5320638, -9.4928372, -9.4928372, -9.4928372, -9.4536106, -9.414384, -9.5320638, -9.4928372, -9.4536106, -9.5712904, -10.1204628, -10.0812362, -9.9635564, -9.6889702, -9.4536106]","[0.196133, 0.196133, 0.196133, 0.196133, 0.2353596, 0.196133, 0.2353596, 0.2353596, 0.2745862, 0.1569064, 0.1569064, 0.2745862, 0.196133, 0.196133, -0.588399, 0.5099458, 0.1569064, 0.588399, 0.5099458, 0.2745862]","[2.157463, 2.3143694, 2.2751428, 2.3143694, 2.1966896, 2.1966896, 2.3143694, 2.2359162, 2.157463, 2.157463, 2.2359162, 2.1966896, 2.2359162, 2.3143694, 2.3928226, 2.0790098, 2.5889556, 2.5105024, 1.8828768, 1.8044236]",5
"[-8.9828914, -9.5320638, -9.5712904, -9.9635564, -9.3751574, -9.5320638, -9.610517, -9.4536106, -9.6889702, -9.4536106, -9.610517, -9.022118, -9.7674234, -9.8458766, -9.3359308, -9.218251, -9.80665, -9.4536106, -9.3751574, -10.2773692]","[0.4707192, 0.2353596, 0.2745862, 0.0784532, 0.3530394, 0.2353596, 0.3138128, 0.2353596, 0.2745862, 0.1569064, 0.5099458, 0.2745862, 0.0392266, 0.0392266, 0.2745862, 0.3530394, 0.2353596, 0.0784532, 0.2353596, 0.1569064]","[2.157463, 2.1182364, 2.3928226, 2.1966896, 2.1182364, 2.2751428, 2.2359162, 2.1966896, 2.1966896, 2.353596, 1.9221034, 2.1182364, 2.3928226, 2.5105024, 2.157463, 2.1182364, 2.3928226, 2.0790098, 2.1182364, 2.1966896]",5
